Driver / Operator Type,Incident Time (24:00),Lighting,Roadway Type,Posted Speed Limit (MPH),State,Weather - Clear,Weather - Rain,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Severe Wind,Roadway Surface,Roadway Description,SV Pre-Crash Movement,CP Pre-Crash Movement,SV Precrash Speed (MPH),Crash With,SV Contact Area - Front,SV Contact Area - Rear,SV Contact Area - Left,SV Contact Area - Right,SV Contact Area - Front Left,SV Contact Area - Front Right,SV Contact Area - Rear Left,SV Contact Area - Rear Right,SV Were All Passengers Belted?,CP Any Air Bags Deployed?,SV Any Air Bags Deployed?,Automation System Engaged?,ADS Equipped?,Make,Model Year,Mileage,CP Was Vehicle Towed?,SV Was Vehicle Towed?,Highest Injury Severity
In-Vehicle (Commercial / Test),18:15,Daylight,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Parking Maneuver,Parked,1.0,SUV,Y, , , , , , , ,Yes,No,No,ADAS,No,Mercedes-Benz,2021.0,7340.0,No,No,No Injuries Reported
Consumer,Unknown,Unknown,Unknown,25.0,TX , , , , , , ,Unknown,Unknown,Unknown,Unknown,3.5,Unknown,Y,Y, , , , , , ,Unknown,Unknown,No,"Unknown, see Narrative",No,Honda,2020.0,18698.0,Unknown,Yes,No Injuries Reported
Consumer,Unknown,Dark - Lighted,Street,25.0,CA , , , ,Y, , ,Dry,No Unusual Conditions,Stopped,Unknown,0.0,"Other, see Narrative", ,Y, , , , ,Y,Y,Unknown,Unknown,Yes,ADAS,No,Tesla,2019.0,18698.0,Unknown,Unknown,Fatality
In-Vehicle (Commercial / Test),14:28,Daylight,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Making Right Turn,"Other, see Narrative",7.0,Passenger Car,Y, , , , , , , ,Yes,No,No,ADS,Yes,Toyota,2016.0,89239.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),9:02,Daylight,Parking Lot,25.0,AZ ,Y, , , , , ,Dry,No Unusual Conditions,Backing,Backing,0.0,Passenger Car,Y, , , , , , , ,No Passengers in Vehicle,No,No,ADS,Yes,Toyota,2021.0,700.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),2:20,Dark - Lighted,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Passenger Car, ,Y, , , , ,Y,Y,Yes,No,No,ADS,Yes,Jaguar,2021.0,11661.0,Unknown,Yes,No Injuries Reported
Consumer,Unknown,Unknown,Unknown,25.0,MD , , , , , , ,Unknown,Unknown,Unknown,Unknown,3.5,Unknown, , , , , , , , ,Unknown,Unknown,Yes,"Unknown, see Narrative",No,Acura,2021.0,18698.0,Unknown,Yes,No Injuries Reported
Consumer,16:00,Daylight,Highway / Freeway,25.0,IN ,Y, , , , , ,Dry,Unknown,Stopped,Proceeding Straight,0.0,"Other, see Narrative", ,Y, , , , ,Y, ,Unknown,Unknown,No,ADAS,No,Subaru,2021.0,27000.0,Unknown,Unknown,No Injuries Reported
Consumer,Unknown,Unknown,Highway / Freeway,25.0,TN , , , , , , ,Unknown,Unknown,Proceeding Straight,Entering Traffic,3.5,Non-Motorist: Pedestrian, , , , , , , , ,Unknown,Unknown,No,"Unknown, see Narrative",No,Honda,2019.0,18698.0,Unknown,No,No Injuries Reported
In-Vehicle (Commercial / Test),10:30,Dark - Lighted,Intersection,30.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Backing,0.0,Passenger Car, , , , , , , ,Y,Yes,No,No,ADAS,Yes,Jaguar,2021.0,17989.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),8:02,Dark - Lighted,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Making Right Turn,Making Right Turn,5.0,SUV, , , , ,Y, , , ,Yes,No,No,ADS,Yes,Toyota,2019.0,50694.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),18:15,Daylight,Intersection,25.0,CA , , , ,Y, , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Van, ,Y, , , , ,Y, ,Yes,No,No,ADS,Yes,Jaguar,2021.0,28679.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),13:15,Daylight,Street,25.0,CA ,Y, , , , , ,Dry,Work Zone,Making Left Turn,Proceeding Straight,13.0,Non-Motorist: Other, , , ,Y, , , ,Y,Yes,Not Applicable,No,ADS,Yes,Cruise,2020.0,31980.0,No,No,Minor
In-Vehicle (Commercial / Test),1:16,Dark - Lighted,Intersection,30.0,CA , , , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Proceeding Straight,9.0,SUV, ,Y, , , , ,Y,Y,Yes,Unknown,No,ADS,Yes,Jaguar,2021.0,25407.0,No,Yes,No Injuries Reported
In-Vehicle (Commercial / Test),10:32,Daylight,Street,25.0,CA , , , ,Y, , ,Dry,No Unusual Conditions,Proceeding Straight,Proceeding Straight,4.0,SUV, ,Y, , , , , ,Y,Yes,Yes,No,ADS,Yes,Jaguar,2021.0,36194.0,Yes,Yes,No Injuries Reported
Consumer,20:29,Unknown,Highway / Freeway,25.0,MD , , , , , , ,Dry,Unknown,"Other, see Narrative","Other, see Narrative",9.0,Unknown, ,Y,Y,Y, , ,Y,Y,"No, see Narrative",Unknown,No,"Unknown, see Narrative",No,Toyota,2022.0,5424.0,Unknown,Yes,No Injuries Reported
In-Vehicle (Commercial / Test),13:08,Daylight,Highway / Freeway,65.0,AZ ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Proceeding Straight,13.0,Passenger Car, ,Y, , , , ,Y,Y,Yes,No,No,ADS,Yes,Jaguar,2021.0,47034.0,No,Yes,No Injuries Reported
In-Vehicle (Commercial / Test),2:27,Dark - Lighted,Intersection,30.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Making Right Turn,20.0,Passenger Car,Y, , , , , , , ,Yes,No,No,ADS,Yes,Jaguar,2021.0,10576.0,No,Yes,No Injuries Reported
In-Vehicle (Commercial / Test),14:25,Daylight,Intersection,25.0,CA , , , ,Y, , ,Dry,No Unusual Conditions,Making Right Turn,Making Right Turn,0.0,SUV, , , , , , ,Y, ,Yes,No,No,ADS,Yes,Ford,2020.0,21459.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),12:39,Daylight,Highway / Freeway,75.0,NM ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,"Other, see Narrative",51.0,"Other, see Narrative", , , , , , , , ,Yes,Not Applicable,No,ADS,Yes,FREIGHTLINER,2021.0,59545.0,Not Applicable,No,No Injuries Reported
In-Vehicle and Remote (Commercial / Test),10:49,Daylight,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Proceeding Straight,19.0,Non-Motorist: Cyclist, , , , , , ,Y, ,Yes,Unknown,No,ADS,Yes,Cruise,2020.0,26404.0,Unknown,No,Minor
In-Vehicle (Commercial / Test),21:28,Dark - Lighted,Intersection,25.0,CA , ,Y, , , , ,Wet,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Passenger Car, ,Y, , , , ,Y,Y,Yes,No,No,ADS,Yes,Jaguar,2021.0,48335.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),18:00,Daylight,Highway / Freeway,75.0,TX ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Proceeding Straight,15.0,Pickup Truck, ,Y, , , , , , ,Yes,No,No,ADS,Yes,Kenworth,2022.0,10766.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),15:05,Daylight,Intersection,25.0,CA ,Y, , ,Y, , ,Unknown,No Unusual Conditions,Proceeding Straight,Making Left Turn,14.0,Pickup Truck, , , , ,Y, , , ,Yes,No,No,ADS,Yes,Toyota,2016.0,47537.0,No,No,No Injuries Reported
Consumer,15:24,Daylight,Highway / Freeway,70.0,GA ,Y, , , , , ,Unknown,Unknown,Unknown,Unknown,75.0,Other Fixed Object, , , , , , , , ,Unknown,Unknown,Yes,"Unknown, see Narrative",No,Ford,2021.0,2000.0,Unknown,Yes,Fatality
In-Vehicle (Commercial / Test),17:10,Daylight,Intersection,35.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Changing Lanes,Stopped,8.0,Passenger Car,Y, , , , , , , ,Yes,No,No,ADS,Yes,Jaguar,2021.0,38882.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),12:57,Daylight,Intersection,35.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Proceeding Straight,1.0,SUV, ,Y, , , , , , ,Yes,No,No,ADS,Yes,Jaguar,2021.0,11323.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),5:18,Dark - Not Lighted,Highway / Freeway,75.0,AZ , , , ,Y, , ,Dry,No Unusual Conditions,Changing Lanes,Proceeding Straight,51.0,Heavy Truck, , , , , ,Y, , ,Yes,No,No,ADS,Yes,Peterbilt,2021.0,224066.0,No,No,No Injuries Reported
Unknown,15:27,Daylight,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Traveling Wrong Way,0.0,Non-Motorist: Cyclist,Y, , , ,Y, , , ,No Passengers in Vehicle,Unknown,No,ADS,Yes,Jaguar,2021.0,44861.0,Unknown,No,No Injuries Reported
Consumer,16:43,Daylight,Street,25.0,FL ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Stopped,3.5,"Other, see Narrative", , , , , , , , ,No Passengers in Vehicle,No,No,ADS,Yes,NAVYA,2016.0,18698.0,Not Applicable,No,No Injuries Reported
Consumer,Unknown,Unknown,Unknown,25.0,CA , , , , , , ,Unknown,Unknown,Unknown,Unknown,3.5,Unknown, , , , , , , , ,Unknown,Unknown,Unknown,ADAS,No,Tesla,2018.0,18698.0,Unknown,Unknown,Fatality
Consumer,Unknown,Unknown,Intersection,25.0,NJ , , , , , , ,Unknown,Unknown,Proceeding Straight,Unknown,3.5,Unknown, , , , , , , , ,Unknown,Unknown,Unknown,"Unknown, see Narrative",No,Tesla,2020.0,18698.0,Unknown,Unknown,Serious
In-Vehicle (Commercial / Test),18:15,Daylight,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Parking Maneuver,Parked,1.0,SUV,Y, , , , , , , ,Yes,No,No,ADAS,No,Mercedes-Benz,2021.0,7340.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),8:27,Daylight,Intersection,15.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Making Right Turn,"Other, see Narrative",6.0,"Other, see Narrative", , , , , , , , ,Yes,Not Applicable,No,ADS,Yes,Jaguar,2021.0,28333.0,Not Applicable,No,No Injuries Reported
In-Vehicle (Commercial / Test),9:19,Daylight,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Making Right Turn,Proceeding Straight,0.0,SUV, , , , , , ,Y, ,Yes,No,No,ADS,Yes,Jaguar,2021.0,25651.0,No,No,No Injuries Reported
Consumer,Unknown,Unknown,Highway / Freeway,25.0,NY , , , , , , ,Unknown,Unknown,Proceeding Straight,Unknown,3.5,Unknown, ,Y, , , , , , ,Unknown,Unknown,No,"Unknown, see Narrative",No,Honda,2020.0,18698.0,Unknown,Yes,Moderate
Consumer,15:13,Daylight,Highway / Freeway,55.0,NY ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Unknown,55.0,Other Fixed Object, , , , , , , , ,Yes,Unknown,Yes,ADAS,No,Subaru,2020.0,25938.0,Unknown,Yes,No Injuries Reported
In-Vehicle (Commercial / Test),21:01,Dark - Lighted,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Van, ,Y, , , , , , ,Yes,No,No,ADS,Yes,Toyota,2016.0,81418.0,No,No,No Injuries Reported
Consumer,17:00,Unknown,Unknown,25.0,UNK, , , , , , ,Unknown,Unknown,Making Right Turn,Unknown,45.0,Other Fixed Object, , , , ,Y, , , ,Unknown,Unknown,No,ADAS,No,Nissan,2021.0,14326.0,Unknown,Yes,Minor
Unknown,8:50,Unknown,Parking Lot,25.0,CA , , , , , , ,Unknown,Unknown,Unknown,Stopped,3.5,Unknown,Y, , , , , , , ,Unknown,No,No,ADS,Yes,EQS,2021.0,18698.0,No,No,Minor
In-Vehicle (Commercial / Test),17:46,Dawn / Dusk,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Making Left Turn,4.0,Non-Motorist: Cyclist, , , , , , ,Y, ,Yes,Unknown,No,ADS,Yes,Jaguar,2021.0,8570.0,Unknown,No,No Injuries Reported
In-Vehicle (Commercial / Test),18:08,Dark - Lighted,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Passenger Car, ,Y, , , , ,Y, ,Yes,No,No,ADS,Yes,Jaguar,2021.0,13034.0,No,Yes,No Injuries Reported
Unknown,13:53,Daylight,Intersection,25.0,AZ ,Y, , , , , ,Dry,No Unusual Conditions,Making Right Turn,Proceeding Straight,0.0,Pickup Truck, , , , , , ,Y, ,No Passengers in Vehicle,No,No,ADS,Yes,Chrysler,2017.0,64430.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),12:57,Daylight,Intersection,30.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Proceeding Straight,1.0,SUV, ,Y, , , , , , ,Yes,No,No,ADS,Yes,Jaguar,2021.0,11323.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),9:00,Daylight,Parking Lot,25.0,CA , ,Y, ,Y, , ,Wet,No Unusual Conditions,Stopped,Backing,0.0,Passenger Car, , ,Y, , , , , ,Yes,No,No,ADS,Yes,Hyundai,2020.0,18430.0,No,No,No Injuries Reported
Consumer,00:12,Unknown,Unknown,25.0,CA , , , , , , ,Unknown,Unknown,Making Right Turn,Unknown,3.5,Unknown, , , , , , , , ,Unknown,Unknown,No,ADAS,No,Tesla,2022.0,18698.0,Unknown,Yes,No Injuries Reported
Consumer,Unknown,Unknown,Unknown,25.0,NJ , , , , , , ,Unknown,Unknown,Unknown,Unknown,3.5,Other Fixed Object, , , , , , , , ,Unknown,Unknown,Yes,"Unknown, see Narrative",No,Honda,2021.0,18698.0,Unknown,Yes,No Injuries Reported
Consumer,Unknown,Unknown,Street,25.0,NJ , , , , , , ,Unknown,Unknown,"Other, see Narrative",Unknown,40.0,Pole / Tree, , , , , , , , ,Unknown,Unknown,No,"Unknown, see Narrative",No,Honda,2021.0,18698.0,Unknown,Yes,No Injuries Reported
Consumer,Unknown,Unknown,Unknown,25.0,VA , , , , , , ,Unknown,Unknown,Proceeding Straight,Stopped,3.5,Unknown,Y, , , , , , , ,Unknown,Unknown,Yes,"Unknown, see Narrative",No,Acura,2019.0,18698.0,Unknown,Yes,No Injuries Reported
In-Vehicle (Commercial / Test),8:20,Daylight,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,1.0,Passenger Car, ,Y, , , , ,Y,Y,Yes,Unknown,No,ADS,Yes,Toyota,2016.0,57678.0,Unknown,No,Minor
In-Vehicle (Commercial / Test),8:04,Daylight,Street,30.0,CA , , , ,Y, , ,Dry,No Unusual Conditions,Proceeding Straight,Proceeding Straight,2.0,Van, , , , , , , , ,Yes,Unknown,No,ADS,Yes,Jaguar,2021.0,2500.0,Unknown,No,No Injuries Reported
In-Vehicle (Commercial / Test),14:48,Daylight,Street,30.0,FL , ,Y, , , , ,Wet,No Unusual Conditions,Making Right Turn,Making Right Turn,1.0,Passenger Car, ,Y, , , , , , ,Yes,No,No,ADS,Yes,Ford,2020.0,2034.0,No,No,No Injuries Reported
Consumer,Unknown,Unknown,Highway / Freeway,25.0,VA , , , , , , ,Unknown,Unknown,Proceeding Straight,Entering Traffic,3.5,Pickup Truck, , , , , , , , ,Unknown,Unknown,Yes,"Unknown, see Narrative",No,Honda,2018.0,18698.0,Unknown,Yes,Minor
In-Vehicle (Commercial / Test),10:43,Daylight,Intersection,35.0,CA , , , ,Y, , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,SUV, , , , , , , ,Y,Yes,No,No,ADS,Yes,Jaguar,2021.0,38155.0,No,No,No Injuries Reported
Remote (Commercial / Test),22:46,Dark - Lighted,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Making Right Turn,6.0,SUV, , , , , , , ,Y,No Passengers in Vehicle,No,No,ADS,Yes,Cruise,2020.0,42248.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),17:41,Daylight,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Backing,Parked,2.0,Passenger Car, , , , , , , ,Y,Yes,No,No,ADS,Yes,Jaguar,2021.0,8500.0,No,Yes,No Injuries Reported
In-Vehicle (Commercial / Test),2:50,Dark - Lighted,Parking Lot,15.0,AZ , , , , , , ,Dry,No Unusual Conditions,Stopped,Backing,0.0,Passenger Car, , , , , ,Y, , ,"No, see Narrative",No,No,ADS,Yes,Chrysler,2017.0,23524.0,No,No,No Injuries Reported
Consumer,Unknown,Unknown,Intersection,25.0,AZ , , , , , , ,Unknown,Unknown,Stopped,Unknown,0.0,Unknown, ,Y, , , , , , ,Unknown,Unknown,No,"Unknown, see Narrative",No,Honda,2019.0,18698.0,Unknown,Yes,Moderate
Consumer,9:20,Unknown,Intersection,35.0,CA , , , , , , ,Unknown,Unknown,Unknown,Unknown,17.0,Non-Motorist: Pedestrian, , , , , , , , ,Unknown,Unknown,Unknown,"Unknown, see Narrative",No,Tesla,2019.0,3987.0,Unknown,Unknown,Serious
In-Vehicle and Remote (Commercial / Test),13:26,Daylight,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Making Left Turn,Proceeding Straight,1.0,Passenger Car, ,Y, , , , , , ,Yes,No,No,ADS,Yes,Jaguar,2021.0,14770.0,No,No,No Injuries Reported
Consumer,Unknown,Unknown,Street,25.0,PA , , ,Y, , , ,Snow / Slush / Ice,"Other, see Narrative",Proceeding Straight,Stopped,3.5,Unknown, , , , , , , , ,Unknown,Unknown,Yes,"Unknown, see Narrative",No,Honda,2020.0,18698.0,Unknown,Yes,No Injuries Reported
Consumer,Unknown,Unknown,Highway / Freeway,25.0,FL , , , , , , ,Unknown,Unknown,Proceeding Straight,Unknown,3.5,Motorcycle, , , , , , , , ,Unknown,Unknown,Unknown,ADAS,No,Tesla,2020.0,18698.0,Unknown,Unknown,Fatality
In-Vehicle (Commercial / Test),16:28,Daylight,Intersection,25.0,CA , , , ,Y, , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Passenger Car, ,Y, , , , ,Y, ,Yes,No,No,ADS,Yes,Jaguar,2021.0,10606.0,Unknown,No,No Injuries Reported
In-Vehicle (Commercial / Test),16:15,Daylight,Intersection,25.0,CA ,Y, , , , , ,Snow / Slush / Ice,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Pickup Truck, ,Y, , , , ,Y,Y,Yes,Unknown,No,ADS,Yes,Jaguar,2021.0,2466.0,Unknown,No,No Injuries Reported
In-Vehicle (Commercial / Test),17:24,Daylight,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,"Other, see Narrative",21.0,Non-Motorist: Cyclist, , , ,Y, , , , ,Yes,Unknown,No,ADS,Yes,Ford,2020.0,4006.0,Unknown,No,No Injuries Reported
In-Vehicle (Commercial / Test),0:49,Dark - Lighted,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Changing Lanes,0.0,Passenger Car, , , , , , , ,Y,Yes,No,No,ADS,Yes,Jaguar,2021.0,8771.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),17:10,Daylight,Intersection,35.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Changing Lanes,Stopped,8.0,Passenger Car,Y, , , , , , , ,Yes,No,No,ADS,Yes,Jaguar,2021.0,38882.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),17:14,Daylight,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Making Left Turn,Traveling Wrong Way,8.0,Passenger Car, , , , ,Y, , , ,Yes,Unknown,No,ADS,Yes,Jaguar,2021.0,2684.0,Unknown,No,No Injuries Reported
In-Vehicle (Commercial / Test),1:58,Dark - Lighted,Parking Lot,15.0,AZ ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Backing,0.0,Passenger Car, , ,Y, , , , , ,Yes,No,No,ADS,Yes,Chrysler,2017.0,1702.0,No,No,No Injuries Reported
Consumer,11:46,Dark - Lighted,Highway / Freeway,65.0,CA ,Y, , , , , ,Dry,Traffic Incident,Proceeding Straight,NM in Roadway - Other,3.5,Motorcycle,Y, , , ,Y,Y, , ,Unknown,Unknown,Yes,ADAS,No,Tesla,2021.0,44616.0,Unknown,Unknown,Fatality
In-Vehicle (Commercial / Test),23:23,Dark - Lighted,Street,35.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Making Right Turn,9.0,Passenger Car, , , , ,Y, , , ,Yes,No,No,ADS,Yes,Jaguar,2021.0,34308.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),8:10,Daylight,Street,30.0,FL ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Backing,0.0,SUV, , , , , ,Y, , ,Yes,No,No,ADS,Yes,Ford,2019.0,9783.0,No,No,No Injuries Reported
Consumer,07:30,Daylight,Highway / Freeway,70.0,LA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,"Other, see Narrative",84.0,Pickup Truck,Y, , , ,Y,Y, , ,Yes,No,Yes,ADAS,No,Subaru,2020.0,25500.0,Yes,Yes,Serious
Remote (Commercial / Test),23:00,Dark - Lighted,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Making Left Turn,Proceeding Straight,0.0,Passenger Car, ,Y, ,Y, , ,Y,Y,Yes,Yes,No,ADS,Yes,Cruise,2022.0,697.0,Yes,Yes,Minor
In-Vehicle (Commercial / Test),15:00,Daylight,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Backing,4.0,Passenger Car, , , , , , , , ,Yes,No,No,ADS,Yes,Hyundai,2021.0,19429.0,No,No,No Injuries Reported
Consumer,22:12,Daylight,Highway / Freeway,70.0,CA ,Y, , , , , ,Dry,Traffic Incident,Proceeding Straight,"Other, see Narrative",48.0,Pickup Truck,Y, , , ,Y,Y, , ,Unknown,Unknown,Yes,ADAS,No,Tesla,2022.0,39333.0,Unknown,Unknown,Fatality
Remote (Commercial / Test),23:21,Dark - Lighted,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Changing Lanes,22.0,Passenger Car, , ,Y, , , ,Y, ,No Passengers in Vehicle,No,No,ADS,Yes,Cruise,2020.0,38937.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),15:26,Daylight,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Proceeding Straight,3.0,Passenger Car, ,Y, , , , , ,Y,Yes,No,No,ADS,Yes,Jaguar,2021.0,23192.0,No,Yes,No Injuries Reported
Consumer,Unknown,Unknown,Unknown,25.0,CO , , , , , , ,Unknown,Unknown,Unknown,Unknown,3.5,Pole / Tree, , , , , , , , ,Unknown,Unknown,Unknown,ADAS,No,Tesla,2021.0,9391.0,Unknown,Yes,Fatality
Consumer,Unknown,Unknown,Intersection,25.0,TX , , , , , , ,Unknown,Unknown,Proceeding Straight,Unknown,3.5,Unknown, , , , , , , , ,Unknown,Unknown,Yes,"Unknown, see Narrative",No,Honda,2021.0,18698.0,Unknown,Yes,No Injuries Reported
Remote (Commercial / Test),0:35,Dark - Lighted,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,SUV, , , , , , ,Y, ,"No, see Narrative",No,No,ADS,Yes,Cruise,2023.0,2109.0,No,No,No Injuries Reported
Consumer,Unknown,Unknown,Highway / Freeway,45.0,TN , , , , , , ,Unknown,Unknown,Unknown,Unknown,3.5,Other Fixed Object, , , , , , , , ,Unknown,Unknown,Yes,ADAS,No,Mercedes-Benz,2022.0,12029.0,Unknown,Unknown,Minor
In-Vehicle (Commercial / Test),16:28,Daylight,Intersection,25.0,CA , , , ,Y, , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Passenger Car, ,Y, , , , ,Y, ,Yes,No,No,ADS,Yes,Jaguar,2021.0,10606.0,Unknown,No,No Injuries Reported
In-Vehicle (Commercial / Test),12:33,Daylight,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Changing Lanes,Proceeding Straight,7.0,Passenger Car, , , , , ,Y, , ,Yes,No,No,ADS,Yes,Jaguar,2021.0,13485.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),17:21,Daylight,Street,30.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Making Left Turn,Proceeding Straight,2.0,Passenger Car, ,Y, , , , , ,Y,Yes,Yes,No,ADS,Yes,Toyota,2019.0,66457.0,Unknown,Yes,Minor
In-Vehicle (Commercial / Test),16:15,Daylight,Intersection,25.0,TX ,Y, , , , , ,Dry,Work Zone,Stopped,Proceeding Straight,10.0,Pickup Truck, ,Y, , , , , , ,Yes,No,No,ADS,Yes,LExus,2020.0,19352.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),23:30,Dark - Lighted,Street,25.0,AZ ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,"Other, see Narrative",24.0,Animal,Y, , , , , , , ,Yes,Unknown,No,ADS,Yes,Jaguar,2021.0,21755.0,Unknown,No,No Injuries Reported
Consumer,19:00,Dark - Not Lighted,Rural Road,25.0,MI ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Unknown,3.5,Pole / Tree,Y, , , ,Y,Y, , ,Yes,Unknown,No,"Unknown, see Narrative",No,Ford,2021.0,18698.0,Unknown,Yes,No Injuries Reported
Consumer,10:00,Daylight,Highway / Freeway,25.0,CT ,Y, , , , , ,Dry,Unknown,Unknown,Unknown,3.5,Other Fixed Object, , , , , , , , ,Unknown,Unknown,Yes,"Unknown, see Narrative",No,Maserati,2021.0,18698.0,Unknown,Yes,No Injuries Reported
In-Vehicle (Commercial / Test),8:40,Daylight,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Crossing into Opposing Lane,0.0,Non-Motorist: Cyclist,Y, , , , , , , ,Yes,Unknown,No,ADAS,Yes,Toyota,2016.0,57706.0,Unknown,No,No Injuries Reported
In-Vehicle (Commercial / Test),8:11,Daylight,Intersection,25.0,DC ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Heavy Truck, ,Y, , , , , , ,Yes,No,No,ADS,Yes,Ford,2020.0,1016.0,No,No,No Injuries Reported
"Other, see Narrative",Unknown,Unknown,Unknown,25.0,CA , , , , , , ,Unknown,Unknown,Unknown,Unknown,3.5,Pole / Tree, , , , , , , , ,Unknown,Unknown,Unknown,ADS,Yes,Hyundai,2021.0,18698.0,Unknown,Unknown,No Injuries Reported
Unknown,17:05,Daylight,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,SUV, ,Y, , , , ,Y, ,Yes,No,No,ADS,Yes,Jaguar,2021.0,22657.0,No,No,No Injuries Reported
Consumer,23:13,Daylight,Highway / Freeway,65.0,CA , ,Y, , , , ,Wet,No Unusual Conditions,Proceeding Straight,Unknown,70.0,Other Fixed Object,Y, , , ,Y,Y, , ,Unknown,Unknown,No,ADAS,No,Tesla,2019.0,41092.0,Unknown,Unknown,Moderate
